customer,location,initial_date,transaction_date,amount
cust00003,22,2023-06-01,2023-06-01,39.0
cust00015,22,2023-03-01,2023-03-01,39.0
cust00016,22,2023-08-01,2023-08-01,39.0
cust00030,22,2023-08-01,2023-08-01,39.0
cust00044,22,2023-08-01,2023-08-01,39.0
cust00055,22,2023-06-01,2023-06-01,39.0
cust00066,22,2023-08-01,2023-08-01,39.0
cust00069,22,2023-08-01,2023-08-01,39.0
cust00092,22,2023-08-01,2023-08-01,39.0
cust00095,22,2023-08-01,2023-08-01,39.0
cust00108,22,2023-08-01,2023-08-01,39.0
cust00113,22,2023-05-01,2023-05-01,39.0
cust00118,22,2023-08-01,2023-08-01,39.0
cust00135,22,2023-08-01,2023-08-01,39.0
cust00140,22,2023-08-01,2023-08-01,39.0
cust00158,22,2023-08-01,2023-08-01,39.0
cust00163,22,2023-08-01,2023-08-01,39.0
cust00169,22,2023-08-01,2023-08-01,39.0
cust00170,22,2023-08-01,2023-08-01,39.0
cust00185,22,2023-08-01,2023-08-01,39.0
cust00186,22,2023-08-01,2023-08-01,39.0
cust00190,22,2023-10-01,2023-10-01,39.0
cust00203,22,2023-03-01,2023-03-01,39.0
cust00232,22,2023-08-01,2023-08-01,39.0
cust00242,22,2023-08-01,2023-08-01,39.0
cust00263,22,2023-08-01,2023-08-01,39.0
cust00284,22,2023-08-01,2023-08-01,39.0
cust00287,22,2023-08-01,2023-08-01,10.0
cust00293,22,2023-08-01,2023-08-01,39.0
cust00294,22,2023-08-01,2023-08-01,39.0
cust00297,22,2023-08-01,2023-08-01,39.0
cust00304,22,2023-11-01,2023-11-01,49.0
cust00307,22,2023-08-01,2023-08-01,39.0
cust00308,22,2023-08-01,2023-08-01,39.0
cust00312,22,2023-07-01,2023-07-20,-22.06
cust00312,22,2023-07-01,2023-07-28,39.0
cust00312,22,2023-07-01,2023-07-17,22.06
cust00326,22,2023-08-01,2023-08-01,39.0
cust00356,22,2023-08-01,2023-08-01,39.0
cust00367,22,2023-08-01,2023-08-01,39.0
cust00377,22,2023-09-01,2023-09-01,39.0
cust00390,22,2023-09-01,2023-09-01,39.0
cust00392,22,2023-09-01,2023-09-01,39.0
cust00393,22,2023-09-01,2023-09-01,39.0
cust00398,22,2023-09-01,2023-09-01,39.0
cust00401,22,2023-09-01,2023-09-01,39.0
cust00402,22,2023-08-01,2023-08-25,10.0
cust00402,22,2023-09-01,2023-09-06,-39.0
cust00402,22,2023-08-01,2023-08-29,-10.0
cust00402,22,2023-08-01,2023-08-17,10.0
cust00402,22,2023-09-01,2023-09-01,39.0
cust00402,22,2023-08-01,2023-08-21,-10.0
cust00404,22,2023-09-01,2023-09-01,39.0
cust00406,22,2023-10-01,2023-10-01,39.0
cust00408,22,2023-09-01,2023-09-01,39.0
cust00419,22,2023-09-01,2023-09-01,39.0
cust00427,22,2023-09-01,2023-09-01,39.0
cust00437,22,2023-09-01,2023-09-01,39.0
cust00454,22,2023-09-01,2023-09-01,39.0
cust00457,22,2023-09-01,2023-09-01,39.0
cust00469,22,2023-09-01,2023-09-01,39.0
cust00482,22,2023-09-01,2023-09-01,39.0
cust00484,22,2023-09-01,2023-09-01,39.0
cust00490,22,2023-09-01,2023-09-01,39.0
cust00498,22,2023-09-01,2023-09-01,39.0
cust00502,22,2023-09-01,2023-09-01,39.0
cust00505,22,2023-09-01,2023-09-01,39.0
cust00506,22,2023-09-01,2023-09-01,39.0
cust00509,22,2023-09-01,2023-09-01,39.0
cust00512,22,2023-09-01,2023-09-01,39.0
cust00517,22,2023-09-01,2023-09-01,39.0
cust00530,22,2023-09-01,2023-09-01,39.0
cust00531,22,2023-10-01,2023-10-01,10.0
cust00539,22,2023-09-01,2023-09-01,39.0
cust00540,22,2023-09-01,2023-09-01,39.0
cust00541,22,2023-09-01,2023-09-01,39.0
cust00542,22,2023-04-01,2023-04-01,39.0
cust00543,22,2023-09-01,2023-09-01,39.0
cust00545,22,2023-09-01,2023-09-01,39.0
cust00548,22,2023-09-01,2023-09-01,39.0
cust00554,22,2023-09-01,2023-09-01,39.0
cust00556,22,2023-09-01,2023-09-01,39.0
cust00561,22,2023-06-01,2023-06-01,39.0
cust00574,22,2023-09-01,2023-09-01,39.0
cust00583,22,2023-09-01,2023-09-01,39.0
cust00584,22,2023-09-01,2023-09-01,39.0
cust00586,22,2023-09-01,2023-09-01,39.0
cust00587,22,2023-09-01,2023-09-01,39.0
cust00590,22,2023-09-01,2023-09-01,39.0
cust00592,22,2023-09-01,2023-09-01,39.0
cust00593,22,2023-04-01,2023-04-01,41.48
cust00595,22,2023-09-01,2023-09-01,39.0
cust00609,22,2023-09-01,2023-09-01,39.0
cust00619,22,2023-09-01,2023-09-01,39.0
cust00622,22,2023-09-01,2023-09-01,39.0
cust00624,22,2023-09-01,2023-09-01,39.0
cust00633,22,2023-09-01,2023-09-01,39.0
cust00645,22,2023-09-01,2023-09-01,39.0
cust00646,22,2023-06-01,2023-06-01,39.0
cust00654,22,2023-09-01,2023-09-01,39.0
cust00656,22,2023-09-01,2023-09-01,39.0
cust00658,22,2023-06-01,2023-06-01,19.99
cust00665,22,2023-09-01,2023-09-01,39.0
cust00695,22,2023-09-01,2023-09-01,49.0
cust00703,22,2023-09-01,2023-09-01,39.0
cust00705,22,2023-09-01,2023-09-01,39.0
cust00720,22,2023-09-01,2023-09-01,39.0
cust00726,22,2023-09-01,2023-09-01,39.0
